Type,Title,Content,Actors,תעדוף,ערך,מורכבות,כאב,אפיון,ערבה
Stage,יבוא,"השלב הראשון במחזור חיי הרכב מכסה את כל התהליך מרגע שגורם כלשהו מבקש לייבא רכב לישראל ועד הרגע שהלקוח מקבל מפתחות בסוכנות ויוצא לדרך. 
השלב כולל הסדרת מעמד היבואן, אישור הנדסי של הדגם, הגעה פיזית של הרכב לנמל, מעבר דרך מערכת המיסוי, בדיקות טכניות, התקנות, רישום במאגרי המדינה, ומסירה ללקוח. 
הרגולציה בשלב זה משמשת כמסננת שחוסמת כניסה של רכבים מסוכנים או פסולים (רכבי Salvage, Total Loss, או רכבים עם ריקול פתוח). 
פרויקט ערבה משמש כשכבה דיגיטלית לאורך כל השלב, מניהול בקשות רישיון ועד תיעוד רגע המסירה.","משרד התחבורה (אגף הרכב, מחלקת יבוא, אגף התקינה); יבואני רכב (ישיר, עקיף, זעיר, אישי); יצרני רכב בחו""ל; רשות המסים (מכס); מכון התקנים הישראלי; מפעילי נמלים; חברות ספנות; מחסני ערובה; עמילי מכס; מרכזי PDI; חברות התקנה; מעבדות מוסמכות; חברות ביטוח; לקוח הקצה",1,3,3,3,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB4,"שלב היבוא הוא נקודת הפתיחה של פרויקט ערבה — כאן מתחיל מחזור החיים הדיגיטלי של הרכב. 

ערבה משמשת כשכבה דיגיטלית לאורך כל תת-השלבים: מניהול בקשות רישיון יבואן, דרך אישור דגמים ותקינה, ועד תיעוד רגע המסירה ללקוח.

הפרויקט מחליף תהליכים ידניים מבוססי נייר ומייל בתהליכים דיגיטליים מלאים, כולל ממשקים ישירים ל-16 יבואנים ישירים ולמערכות ממשלתיות כמו מסלול ושער עולמי. 

זהו השלב שבו נבנה התיק הדיגיטלי הראשוני של כל רכב באגם הרכב הלאומי.

מבחינת ערבה, שלב היבוא כולל את רכיבי הפרויקט: רישוי יבוא, מאגר דגמים, הוראת רישום, COC דיגיטלי, רישום ראשוני - ייעודית\רכבית\תפנית, רישיון דיגיטלי, וממשק PDI."
SubStage,רישוי היבואן,"כל גורם שמבקש לייבא רכבים לישראל חייב לקבל רישיון יבואן ממשרד התחבורה. הרישיון ניתן עבור מותג (תוצר) ספציפי, ומותנה בעמידה בתנאים פיננסיים, משפטיים ותפעוליים. 
סוג הרישיון קובע את היקף הפעילות, כמה רכבים מותר לייבא, לכמה זמן הרישיון תקף, ומהי רמת המחויבות כלפי הלקוחות בנושאי שירות, אחריות וריקולים. ללא רישיון בתוקף, שום רכב לא יעבור מכס. 
חוק רישוי שירותים ומקצועות בענף הרכב (2016) הגדיר ארבע קטגוריות יבוא, כל אחת עם מערכת חובות וזכויות נפרדת.",היבואן; מחלקת יבוא במשרד התחבורה; רשם החברות; משטרת ישראל,1,3,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB5,"כיום התהליך מנוהל דרך מיילים ומסמכי נייר, אורך 6-8 שבועות, ואין רישום אוטומטי שמקנה ליבואן הרשאות דיווח לאגם הרכב.

ערבה הופכת את תהליך הרישוי לדיגיטלי מלא: הגשת בקשה מקוונת, מעקב סטטוסים שקוף, וחיבור אוטומטי של יבואן מאושר לאגם הרכב עם הרשאות דיווח. היעד הוא להוריד את זמן הטיפול ל-3 שבועות.

הרישוי הוא שער הכניסה לכל שרשרת היבוא — ללא רישיון פעיל במערכת, שום בקשת שחרור ממכס לא תתקבל, ולכן הדיגיטציה שלו קריטית להצלחת הפרויקט כולו."
SubSubStage,הגשת בקשה,"היבואן מגיש בקשה רשמית למחלקת יבוא במשרד התחבורה עבור מותג ספציפי. יבואן שרוצה לייבא שני מותגים צריך שני רישיונות נפרדים. 
חבילת הבקשה כוללת מסמכי התאגדות, הוכחת חוסן פיננסי (הון עצמי מינימלי, ניהול ספרים תקין), הסכם התקשרות מול היצרן או סוכן מורשה, ותוכנית מפורטת להקמת מערך שירות, כולל טיפול בקריאות חוזרות (ריקולים). 
במקביל מתבצעת בדיקת רקע פלילי של בעלי השליטה דרך משטרת ישראל ואימות נתוני התאגדות מול רשם החברות. 
הבקשה מוגשת ומנוהלת דרך פורטל ערבה כ-workflow דיגיטלי — כל המסמכים עולים למערכת, כל הסטטוסים שקופים, ללא ניירת פיזית.",היבואן; מחלקת יבוא במשרד התחבורה; רשם החברות; משטרת ישראל,1,3,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB6,"הבקשה מוגשת ומנוהלת דרך מודול כרם במערכת ערבה, כ-workflow דיגיטלי — כל המסמכים עולים למערכת, כל הסטטוסים שקופים, ללא ניירת פיזית.

המערכת מאפשרת בדיקת רקע אוטומטית מול רשם החברות ומשטרת ישראל, מעקב שלם אחר תהליך הבקשה, והתראות אוטומטיות על מסמכים חסרים. 

זהו מימוש ישיר של חזון ערבה לדיגיטציה מלאה של תהליכי הרישוי."
SubSubStage,סיווג היבואן,"משרד התחבורה בוחן את הבקשה ומסווג את היבואן לאחת מארבע קטגוריות שהוגדרו בחוק 2016. 
הסיווג נגזר מאופי ההתקשרות עם היצרן, מהיקף הפעילות המבוקש, ומהתשתית שהיבואן מתחייב להקים. 
יבואן ישיר — הסכם ישיר עם יצרן, חובת תשתית שירות מלאה (מוסכים, חלפים ל-7 שנים לפחות, מנגנון ריקולים), רישיון ל-6 שנים, ללא מגבלת כמות. 
בישראל פועלים כ-16 יבואנים ישירים, ביניהם כלמוביל, צ'מפיון מוטורס, טלקאר, קרסו מוטורס, יוניון מוטורס ודלק מוטורס. יבואן עקיף (מקביל) — רוכש מדילר בחו""ל, מחויב באחריות מלאה כלפי הלקוח, ללא מגבלת כמות, מייצר לרוב הוזלה של 15%-30%. 
יבואן זעיר — עד 20 רכבים בשנה (הורחב ל-60 בהוראות שעה), גיל רכב עד 12 חודשים ועד 150 ק""מ, רישיון לשנתיים. 
יבוא אישי — אזרח פרטי, רכב אחד ל-24 חודשים לשימוש עצמי. תושבים חוזרים זכאים להקלות (רכב עד 48 חודשים). 
היבוא האישי מהווה חלקיק מסך היבוא. הסיווג מתועד בערבה ומשודר למערכות הרלוונטיות.",מחלקת יבוא במשרד התחבורה; היבואן,1,2,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB7,"הסיווג לארבע קטגוריות (ישיר, עקיף, זעיר, אישי) מתועד בערבה ומשודר למערכות הרלוונטיות, בין היתר, מסלול ושער עולמי.

ערבה מנהלת את הסיווג באופן דיגיטלי ומבטיחה שהתנאים המיוחדים לכל קטגוריה (מגבלות כמות, תקופת רישיון, חובות שירות) נאכפים אוטומטית לאורך כל שרשרת היבוא."
SubSubStage,הנפקת רישיון,"לאחר אישור הבקשה והשלמת כל הבדיקות, הרישיון מונפק דיגיטלית. הרישיון כולל את פרטי היבואן, המותג המאושר, סוג הרישיון, תנאים מיוחדים ותאריך תפוגה. 
הרישיון משודר אוטומטית למערכת מסלול (מערכת הרישיונות של המכס) ולמערכת שער עולמי, כך שהמכס יכול לוודא בזמן אמת שליבואן יש רישיון תקף למותג הנכון. 
ללא רישיון פעיל במערכת, שום בקשת שחרור ממכס לא תתקבל.",מחלקת יבוא במשרד התחבורה; רשות המסים (מכס); מערך הדיגיטל הלאומי,1,3,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB8,"הרישיון מונפק דיגיטלית ומשודר אוטומטית למערכת מסלול (רישיונות המכס) ולמערכת שער עולמי — כך שהמכס מוודא בזמן אמת שליבואן יש רישיון תקף.

ללא רישיון פעיל במערכת, שום בקשת שחרור ממכס לא תתקבל. ערבה יוצרת כאן חיבור חלק בין הרישוי של משרד התחבורה לבין מערכות רשות המסים."
SubStage,אישור דגם ותקינה,"כל דגם רכב חדש שנכנס לשוק הישראלי חייב לעבור אישור הנדסי באגף התקינה של משרד התחבורה. 
התהליך בודק שהדגם עומד בתקנים בינלאומיים (אירופיים, אמריקאיים או קנדיים) ובדרישות מקומיות ייחודיות לישראל. 
זהו תהליך מסמכי בעיקרו, ולעיתים כולל גם בדיקה פיזית של רכב אב-טיפוס. 
ישראל מכירה בשתי אסכולות תקינה: האירופית (EC/EEC) והאמריקאית-קנדית (FMVSS/CMVSS). 
התהליך מסתיים בהנפקת הוראת רישום וקוד דגם — בלעדיהם אף יחידה מהדגם לא תירשם בארץ.",היבואן; יצרן הרכב; אגף התקינה במשרד התחבורה; המשרד להגנת הסביבה; NHTSA (לדגמים אמריקאיים); מכון התקנים הישראלי,2,3,2,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB9,"אישור דגם ותקינה נוגע לשני רכיבים מרכזיים בערבה: מאגר דגמים והוראת רישום. 

כטרום פרויקט ערבה, מייתרים את חברת Car-Data לחלוטין. פרויקט ערבה יאפשר ל-16 יבואנים ישירים לעדכן דגמים חדשים ישירות דרך API, ולהבטיח דיוק של 99% במאגר עד סוף 2027.

בנוסף, ערבה מקשרת את הוראת הרישום ישירות למאגר הדגמים, כך שדגם חדש מתעדכן אוטומטית תוך 24 שעות מרגע אישורו — במקום 3-6 שבועות של העברת PDF במייל."
SubSubStage,הגשת מסמכים,"היבואן מגיש לאגף התקינה את חבילת המסמכים הטכניים של הדגם, תקינה בינלאומית. 
במסלול אירופי (הנפוץ ביותר) — אישור סוג שלם (WVTA) שמעיד על עמידה בכל תקנות UN/ECE, ותעודת התאמה (COC) לכל רכב ספציפי. 
במסלול אמריקאי — תוויות FMVSS והצהרות יצרן נוטריוניות שמאשרות עמידה בתקנים הפדרליים. 
במסלול קנדי — תקני CMVSS עם סימון בטיחות לאומי (NSM). 
רכבים מהנתיב האמריקאי-קנדי דורשים לרוב התאמות נוספות, במיוחד בתאורה ובמדי מהירות. 
נתוני eCOC נקלטים אוטומטית בערבה, מה שמאפשר חישוב מיידי של פרמטרים כמו ציון ירוק ומדרגת מיסוי.",היבואן; יצרן הרכב; מהנדסי תקינה במשרד התחבורה,4,2,2,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB10,"כיום 100% מאישורי COC מגיעים כנייר או PDF ומוזנים ידנית, מה שגורם לשגיאות הזנה ופערי מידע.

ערבה תקלוט את נתוני eCOC אוטומטית, מה שמאפשר חישוב מיידי של פרמטרים כמו ציון ירוק ודרגת מיסוי. 

היעד: עד 2027, 60% מדגמים חדשים קולטים נתוני COC אוטומטית לאגם ללא הזנה ידנית."
SubSubStage,השכבה הישראלית,"מעבר לתקינה הבינלאומית, כל דגם חייב לעמוד בדרישות חובה מקומיות ייחודיות לישראל. הדרישות כוללות: מערכת ISA (בקרת מהירות חכמה), מערכת AVAS (התרעה אקוסטית לרכבים חשמליים), מזגן כחובה, טכוגרף דיגיטלי (לרכבים מסחריים), התאמת פנסים לתקן אירופי ברכבים מארה""ב, ושילוט בעברית. דרישות אלה מוסיפות שכבת עלות ומורכבות על תהליך היבוא, אך מבטיחות שכל רכב מותאם לתנאים המקומיים. במקביל מחושבת דרגת הזיהום — הציון הירוק (סולם 0-15) — על בסיס נתוני פליטות CO2, NOx וחלקיקים. הציון משפיע ישירות על גובה מס הקנייה: הפחתה של עד כ-19,500 ₪ בדרגות הנמוכות, ותוספת מס בדרגות 13-15. הציון הירוק משמש ככלי מדיניות לעידוד יבוא רכבים נקיים.",אגף התקינה במשרד התחבורה; המשרד להגנת הסביבה; היבואן,4,2,2,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB11,"בחינת ההתאמה לדרישות הישראליות (השכבה הישראלית) קשורה למאגר דגמים) וגם ל COC דיגיטלי. 

הציון הירוק — סולם 0-15 המבוסס על נתוני פליטות — מחושב על בסיס נתונים שערבה קולטת אוטומטית מה-COC הדיגיטלי.

ערבה מאפשרת חישוב אוטומטי של דרגת הזיהום ומדרגת המיסוי, ומבטיחה שהנתונים הסביבתיים מדויקים ונגישים לכל הגורמים הרלוונטיים."
SubSubStage,בדיקת אב-טיפוס,"לא כל דגם עובר שלב זה. בדיקה פיזית של רכב אב-טיפוס נדרשת כשאגף התקינה לא יכול להסתפק במסמכים — למשל בדגם חדש לגמרי שאין עליו ניסיון קודם, דגם עם שינויים ייחודיים לשוק הישראלי, או כשהמסמכים אינם מספיק ברורים. 
מהנדסי התקינה בודקים שהמציאות תואמת את הניירת: מיקומי הטבעת שלדה, מערכות בטיחות, מידות ומשקלים, וקיום ההתאמות הישראליות ברכב בפועל.",אגף התקינה במשרד התחבורה; היבואן,7,1,1,1,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB12,"בדיקת אב-טיפוס היא תהליך שלא כל דגם עובר, ולכן הקשר לערבה מצומצם יחסית. כשנדרשת בדיקה פיזית, ערבה מתעדת את הממצאים ומקשרת אותם לקוד הדגם במאגר.

הבדיקה מוודאת שהמציאות תואמת את הניירת — מיקומי הטבעת שלדה, מערכות בטיחות, מידות — וממצאי הבדיקה נשמרים בתיק הדגם הדיגיטלי בערבה."
SubSubStage,הוראת רישום,"לאחר שהדגם עובר את כל הבדיקות, אגף התקינה מנפיק הוראת רישום — מסמך רשמי עם 33 שדות טכניים: מידות חיצוניות, משקל עצמי ומרבי, צמיגים מותרים, נתוני פליטה, נפח מנוע, סוג דלק, מיקומי הטבעת שלדה ועוד. 
על בסיס ההוראה נוצר קוד דגם — מזהה ייחודי שמאגד את כל הנתונים הטכניים ומהווה את המפתח הראשי באגם הרכב הלאומי בערבה. 
המערכת קולטת את המבנה ההיררכי המלא (Type, Variant, Version) ויוצרת קישור דיגיטלי שמאפשר שליפת נתוני יצרן לפי VIN. 
הוראת הרישום נחתמת דיגיטלית, משודרת למערכות הרישוי והמכס, ותקפה עד סוף השנה הקלנדרית. ללא קוד דגם פעיל, אף יחידה מהדגם לא תירשם. 
המערכת חוסמת באופן הרמטי רכבים עם היסטוריה בעייתית — רכבי Salvage, Total Loss, או רכבים עם ריקול פתוח.",אגף התקינה במשרד התחבורה; מנהל מקצועי מטעם היבואן; רשות המסים; אגם הרכב הלאומי,2,3,1,2,https://motgovil.sharepoint.com/:w:/s/ITProjects/IQALoJ3lmW8NS6QOKAu1r_wuAYlZiBI_8rEM2FmtEzdEr6g?e=7dcfB13,"הנפקת הוראת רישום וקוד דגם היא אחד הרכיבים הקריטיים בערבה — כי היא תאפשר עדכון של מאגר הדגמים. קוד הדגם הוא מפתח ראשי באגם הרכב הלאומי.

המערכת קולטת את המבנה ההיררכי המלא (Type, Variant, Version), יוצרת קישור דיגיטלי לשליפת נתוני יצרן לפי VIN, וחוסמת באופן הרמטי רכבים עם היסטוריה בעייתית (Salvage, Total Loss, ריקול פתוח).

הוראת הרישום נחתמת דיגיטלית, משודרת למערכות הרישוי והמכס, ומהווה את הבסיס שעליו כל יחידת רכב תירשם. ללא קוד דגם פעיל — אף רכב לא יירשם."
